Michael,Penning,247311
Jon,Trickett,101956
Bob,Blackman,304735
Gareth,Thomas,301876
Iain,Wright,313591
Bernard,Jenkin,395631
Amber,Rudd,155876
David,Willetts,335261
John,McDonnell,711681
Andrew,Stunell,338508
Yasmin,Qureshi,145558
Richard,Benyon,393819
Julie,Hilling,264113
Andrea,Leadsom,284282
Damian,Green,486817
David,Gauke,767639
Gary,Streeter,84542
Sajid,Javid,226890
Pamela,Nash,58636
Heather,Wheeler,53542
Richard,Drax,125448
Stephen,Metcalfe,104101
Andrew,Lansley,1062884
Katy,Clark,162976
John,Hayes,530917
Margaret,Ritchie,136159
James,Paice,331650
Paul,Flynn,234330
Yvette,Cooper,645419
Patrick,Mercer,86634
Catherine,McKinnell,241817
Nick,Brown,81962
Jessica,Morden,45252
Paul,Farrelly,87838
Steve,Rotheram,185583
Richard,Graham,195973
Rehman,Chishti,136099
Philip,Dunne,2651
Mark,Hunter,5
Simon,Burns,524833
Greg,Hands,54324
Martin,Horwood,348331
Cheryl,Gillan,146291
Toby,Perkins,201702
Andrew,Tyrie,175913
Iain,Duncan,Smith,508217
Duncan,Hames,166093
Theresa,Villiers,284013
Jack,Dromey,263432
Gisela,Stuart,136043
Stephen,McCabe,200595
Khalid,Mahmood,235
Richard,Burden,88772
Shabana,Mahmood,137527
Gemma,Doyle,157908
Oliver,Letwin,96313
Peter,Bone,474902
Graham,Evans,127307
Grant,Shapps,254460
Tessa,Munt,139858
Robert,Smith,64658
John,Healey,410669
Adrian,Bailey,189406
Tom,Watson,79125
PYTHONNONE,1270245
Maria,Eagle,269846
Edward,Leigh,421463
Mark,Menzies,87128
Mark,Durkan,389615
Mark,Harper,812443
Damian,Collins,192818
Mike,Freer,125852
Greg,Clark,340593
Patrick,McLoughlin,67860
Vernon,Coaker,375470
Ian,Mearns,144695
Margaret,Beckett,12816
Gordon,Brown,39739
George,Howarth,123303
Karl,Turner,144942
Diana,Johnson,419252
Alan,Johnson,247366
Chris,Skidmore,121521
Malcolm,Rifkind,198106
Philip,Hollobone,258931
Cathy,Jamieson,301325
Edward,Davey,550720
Sadiq,Khan,344531
Adrian,Sanders,40719
Jim,Shannon,487943
Nadhim,Zahawi,160414
William,Cash,880673
Margot,James,188268
Joan,Walley,138214
Robert,Flello,217313
James,Wharton,77001
Tristram,Hunt,177432
Chuka,Umunna,382253
Kate,Green,356499
Graham,Allen,150974
Christopher,Leslie,910678
Marcus,Jones,169037
Lilian,Greenwood,188995
Huw,Irranca-Davies,205522
Gordon,Banks,71262
Phil,Woolas,4128
James,Brokenshire,582850
Alistair,Carmichael,1719
Michael,Meacher,191657
Robert,Goodwill,3714
John,Glen,189424
Alan,Duncan,85518
Tom,Greatrex,208612
Hazel,Blears,267614
Alan,Haselhurst,45186
Nick,Hurd,210831
Mark,Pawsey,192019
Kenneth,Clarke,697570
Philip,Hammond,697832
Dawn,Primarolo,269326
Stephen,Williams,256806
Keith,Simpson,6325
Bob,Neill,448488
Simon,Kirby,35319
Caroline,Lucas,452688
Kerry,McCarthy,372971
Charlotte,Leslie,85850
Nick,Herbert,504538
Alan,Reid,136495
Hywel,Williams,86944
Michael,Weir,155752
Nigel,Mills,193852
Mark,Tami,69234
Graham,Brady,49906
Richard,Shepherd,124247
The,Queen,3824
Ian,Lavery,183935
Edward,Vaizey,280150
John,Spellar,116644
Helen,Jones,361623
David,Mowat,211634
Chris,White,139993
Sharon,Hodgson,187418
Richard,Harrington,123556
Peter,Aldous,204347
Charles,Hendry,306281
Gavin,Shuker,219840
David,Rutley,163467
Gregory,Campbell,51163
Michael,McCann,159794
Yvonne,Fovargue,177393
John,Whittingdale,78834
Tony,Lloyd,178703
Gerald,Kaufman,182222
Sammy,Wilson,187753
Grahame,Morris,261511
Virendra,Sharma,39290
Stephen,Pound,90453
Damian,Hinds,169909
Stephen,Timms,333098
Jo,Swinson,308998
Hugo,Swire,115305
Andrew,Bingham,104354
Jim,Dobbin,19735
Guy,Opperman,224861
James,Clappison,242114
Mark,Prisk,317204
Jesse,Norman,129128
John,Howell,45944
Matthew,Offord,122876
Mark,Hoban,913693
Hugh,Robertson,236715
Ben,Bradshaw,97121
Eric,Joyce,71415
Teresa,Pearce,69786
Dominic,Raab,203525
Frank,Dobson,157380
Peter,Lilley,97992
Sarah,Newton,239359
Tom,Clarke,144409
David,Jones,96763
Martin,Vickers,145157
Lynne,Featherstone,267710
Mark,Garnier,113355
Mark,Field,256159
Lorraine,Fullbrook,24850
Chi,Onwurah,149339
Gavin,Williamson,97942
David,Miliband,139994
Robert,Buckland,308583
Tim,Yeo,21552
Andrew,Selous,135902
Laura,Sandys,172154
David,Morris,102138
Edward,Balls,490228
Frank,Roy,14300
Angus,MacNeil,316123
Peter,Hain,59593
Julian,Lewis,249424
Desmond,Swayne,9057
Ian,Paisley,Jnr,152102
Oliver,Heald,108347
Roger,Gale,78475
Justin,Tomlinson,193098
Liam,Fox,567179
Ben,Gummer,173043
Andrew,Robathan,284108
Richard,Bacon,96047
Graham,Stuart,263717
Norman,Baker,293738
Michael,Moore,207426
Rushanara,Ali,131578
Simon,Hughes,559792
Alan,Beith,223961
Alasdair,McDonnell,29043
Mark,Francois,47807
Geoffrey,Cox,83645
Gloria,De,Piero,63860
Liz,Kendall,196834
David,Evennett,120760
Frank,Field,232727
Peter,Bottomley,185117
Ian,Lucas,162665
Steven,Baker,225183
Ben,Wallace,65957
Paul,Uppal,111565
Robin,Walker,124290
Tony,Cunningham,28559
Barbara,Keeley,233629
Susan,Elan,Jones,71209
John,Cryer,94361
Douglas,Carswell,84245
Roberta,Blackman-Woods,222158
Stephen,Mosley,108989
Paul,Goggins,186904
Christopher,Chope,824293
Lindsay,Hoyle,270280
Jim,Dowd,72931
Mr,Speaker-Elect,68530
Joan,Ruddock,171150
Charles,Walker,125897
Alec,Shelbrooke,174616
Alok,Sharma,84896
Andrew,Miller,117018
Karl,McCartney,50241
Tessa,Jowell,121882
Russell,Brown,105875
Ian,Austin,88179
Clive,Efford,201486
Jim,McGovern,39029
Thomas,Docherty,338650
David,Mundell,344407
Stewart,Hosie,428075
Elfyn,Llwyd,285419
Angie,Bray,126186
Ian,Murray,216732
Peter,Soulsby,18770
Keith,Vaz,495645
Hilary,Benn,413802
Eric,Ollerenshaw,158974
Jimmy,Hood,8133
Jeffrey,M,Donaldson,117971
Rachel,Reeves,376465
Greg,Mulholland,152341
Fabian,Hamilton,47093
George,Mudie,92872
Norman,Lamb,119695
Fiona,Bruce,221848
Jamie,Reed,83634
Bob,Russell,345507
Jason,McCartney,114449
Geoffrey,Robinson,173556
Jim,Cunningham,92852
Louise,Bagshawe,78232
Bob,Ainsworth,116008
Henry,Smith,203657
Edward,Timpson,97009
Andrew,Mitchell,319897
Paul,Burstow,509091
Geraint,Davies,276094
Siân,James,15762
Therese,Coffey,205197
Neil,Carmichael,280584
Michael,Gove,786571
Mike,Gapes,214894
Henry,Bellingham,117896
James,Gray,116040
Mike,Weatherley,58444
Barry,Sheerman,255389
George,Osborne,1377909
Bridget,Phillipson,59151
George,Young,1626230
Andrew,Bridgen,232884
Chris,Kelly,41335
Ian,Swales,109810
Steve,Brine,135675
Stephen,Doughty,524
Andrew,Sawford,8036
George,Galloway,942
Lucy,Powell,594
